,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU,speedup
379,3,5000,1000000,0.021748066,TRUE,10.87838221,TRUE,500.1999825
380,0,5000,1000000,0.022381783,TRUE,1.867922783,TRUE,83.45728408
381,1,5000,1000000,0.062678476,TRUE,2.566310644,TRUE,40.94404982
382,2,5000,1000000,0.014617682,TRUE,2.485122204,TRUE,170.0079594
383,3,5000,1000000,0.021783829,TRUE,10.83787632,TRUE,497.5193503
384,0,5000,1200000,0.023558378,TRUE,2.184370041,TRUE,92.72157958
385,1,5000,1200000,0.071769225,TRUE,2.598678827,TRUE,36.2088183
386,2,5000,1200000,0.017440796,TRUE,3.009618521,TRUE,172.5619942
387,3,5000,1200000,0.023661137,TRUE,10.75706887,TRUE,454.6302674
388,0,5000,1200000,0.025801659,TRUE,2.178209305,TRUE,84.42128996
389,1,5000,1200000,0.071814176,TRUE,2.900487423,TRUE,40.38878651
390,2,5000,1200000,0.017067671,TRUE,2.966112852,TRUE,173.7854499
391,3,5000,1200000,0.024444818,TRUE,13.13058901,TRUE,537.1522399
392,0,5000,1400000,0.027064562,TRUE,2.513157368,TRUE,92.8578627
393,1,5000,1400000,0.079107796,TRUE,2.993274212,TRUE,37.83791691
394,2,5000,1400000,0.01995039,TRUE,3.575106144,TRUE,179.1998136
395,3,5000,1400000,0.027358532,TRUE,15.36342478,TRUE,561.5588148
396,0,5000,1400000,0.02712059,TRUE,2.519589663,TRUE,92.9032017
397,1,5000,1400000,0.070637024,TRUE,3.076828957,TRUE,43.55830388
398,2,5000,1400000,0.019809484,TRUE,3.561753511,TRUE,179.800414
399,3,5000,1400000,0.02666688,TRUE,12.79903984,TRUE,479.9601606
400,0,5000,1500000,0.029730797,TRUE,2.621164083,TRUE,88.16326383
401,1,5000,1500000,0.075026368,TRUE,3.37973094,TRUE,45.04724179
402,2,5000,1500000,0.020832777,TRUE,3.810239077,TRUE,182.8963595
403,3,5000,1500000,0.030009985,TRUE,13.67783117,TRUE,455.7760088
