id,n,m,avgD,method,GPU_time_cost(s),dist:GPU(method)==singleCPU(dij)?,singleCPU_time_cost(s),dist:singleCPU(method)==singleCPU(dij)?,singleCPU_time_cost/GPU_time_cost
246,6400,12800,2,delta,0.1064,TRUE,0.1887,TRUE,1.773496241
247,6400,12800,2,edge,0.0292,TRUE,0.2807,TRUE,9.613013699
248,6400,25600,4,dij,0.0534,TRUE,0.2232,TRUE,4.179775281
249,6400,25600,4,spfa,0.004,TRUE,0.1902,TRUE,47.55
250,6400,25600,4,delta,0.0854,TRUE,0.2489,TRUE,2.914519906
251,6400,25600,4,edge,0.0615,TRUE,0.5864,TRUE,9.53495935
252,6400,51200,8,dij,0.022,TRUE,0.3033,TRUE,13.78636364
253,6400,51200,8,spfa,0.0054,TRUE,0.2574,TRUE,47.66666667
254,6400,51200,8,delta,0.048,TRUE,0.3319,TRUE,6.914583333
255,6400,51200,8,edge,0.0427,TRUE,0.83,TRUE,19.43793911
256,6400,102400,16,dij,0.0135,TRUE,0.4191,TRUE,31.04444444
257,6400,102400,16,spfa,0.0092,TRUE,0.487,TRUE,52.93478261
258,6400,102400,16,delta,0.0424,TRUE,0.49,TRUE,11.55660377
259,6400,102400,16,edge,0.0417,TRUE,2.0553,TRUE,49.28776978
260,6400,204800,32,dij,0.0177,TRUE,0.5919,TRUE,33.44067797
261,6400,204800,32,spfa,0.0182,TRUE,0.8694,TRUE,47.76923077
262,6400,204800,32,delta,0.0556,TRUE,0.7927,TRUE,14.25719424
263,6400,204800,32,edge,0.0162,TRUE,3.6158,TRUE,223.1975309
264,6400,409600,64,dij,0.142,TRUE,0.9617,TRUE,6.772535211
265,6400,409600,64,spfa,0.0296,TRUE,1.539,TRUE,51.99324324
266,6400,409600,64,delta,0.0317,TRUE,1.3177,TRUE,41.56782334
267,6400,409600,64,edge,0.0427,TRUE,6.4093,TRUE,150.1007026
268,6400,819200,128,dij,0.0736,TRUE,1.5876,TRUE,21.57065217
269,6400,819200,128,spfa,0.0445,TRUE,2.426,TRUE,54.51685393
270,6400,819200,128,delta,0.0233,TRUE,2.3118,TRUE,99.21888412
271,6400,819200,128,edge,0.0408,TRUE,11.4695,TRUE,281.1151961
272,6400,1638400,256,dij,0.1373,TRUE,2.8983,TRUE,21.10924982
273,6400,1638400,256,spfa,0.0749,TRUE,4.1221,TRUE,55.03471295
274,6400,1638400,256,delta,0.0949,TRUE,4.0941,TRUE,43.14120126
275,6400,1638400,256,edge,0.0592,TRUE,19.7037,TRUE,332.8327703
276,6400,3276800,512,dij,0.0714,TRUE,5.446,TRUE,76.2745098
277,6400,3276800,512,spfa,0.1228,TRUE,6.6204,TRUE,53.91205212
278,6400,3276800,512,delta,0.0728,TRUE,8.6329,TRUE,118.5837912
279,6400,3276800,512,edge,0.0796,TRUE,28.7298,TRUE,360.9271357
280,12800,12800,1,dij,0.0399,TRUE,0.1983,TRUE,4.969924812
281,12800,12800,1,spfa,0.0057,TRUE,0.1225,TRUE,21.49122807
282,12800,12800,1,delta,0.0905,TRUE,0.4152,TRUE,4.587845304
283,12800,12800,1,edge,0.022,TRUE,0.4233,TRUE,19.24090909
284,12800,25600,2,dij,0.0126,TRUE,0.3702,TRUE,29.38095238
285,12800,25600,2,spfa,0.0067,TRUE,0.2739,TRUE,40.88059701
286,12800,25600,2,delta,0.0234,TRUE,0.4686,TRUE,20.02564103
287,12800,25600,2,edge,0.0055,TRUE,0.6492,TRUE,118.0363636
288,12800,51200,4,dij,0.0197,TRUE,0.3725,TRUE,18.90862944
289,12800,51200,4,spfa,0.0077,TRUE,0.3273,TRUE,42.50649351
290,12800,51200,4,delta,0.0162,TRUE,0.5635,TRUE,34.78395062
291,12800,51200,4,edge,0.4503,TRUE,1.3175,TRUE,2.925827226
292,12800,102400,8,dij,0.0352,TRUE,0.5705,TRUE,16.20738636
293,12800,102400,8,spfa,0.0116,TRUE,0.601,TRUE,51.81034483
294,12800,102400,8,delta,0.1073,TRUE,0.7934,TRUE,7.394221808
295,12800,102400,8,edge,0.0141,TRUE,2.3848,TRUE,169.1347518
296,12800,204800,16,dij,0.0335,TRUE,0.7683,TRUE,22.93432836
297,12800,204800,16,spfa,0.0199,TRUE,1.0168,TRUE,51.09547739
298,12800,204800,16,delta,0.0577,TRUE,1.1171,TRUE,19.36048527
299,12800,204800,16,edge,0.0579,TRUE,3.9249,TRUE,67.78756477
300,12800,409600,32,dij,0.0351,TRUE,1.2041,TRUE,34.3048433
301,12800,409600,32,spfa,0.0345,TRUE,1.7238,TRUE,49.96521739
302,12800,409600,32,delta,0.1458,TRUE,1.7197,TRUE,11.79492455
303,12800,409600,32,edge,0.2655,TRUE,8.0713,TRUE,30.40037665
304,12800,819200,64,dij,0.1452,TRUE,1.8829,TRUE,12.96763085
305,12800,819200,64,spfa,0.0654,TRUE,3.1427,TRUE,48.05351682
306,12800,819200,64,delta,0.0894,TRUE,2.7767,TRUE,31.05928412
307,12800,819200,64,edge,0.0833,TRUE,14.3924,TRUE,172.7779112
308,12800,1638400,128,dij,0.0602,TRUE,3.2081,TRUE,53.29069767
309,12800,1638400,128,spfa,0.1026,TRUE,5.7027,TRUE,55.58187135
310,12800,1638400,128,delta,0.0379,TRUE,4.8364,TRUE,127.6094987
311,12800,1638400,128,edge,0.18,TRUE,25.8568,TRUE,143.6488889
312,12800,3276800,256,dij,0.1826,TRUE,5.8163,TRUE,31.85268346
313,12800,3276800,256,spfa,0.1784,TRUE,8.3401,TRUE,46.74943946
314,12800,3276800,256,delta,0.1124,TRUE,8.3565,TRUE,74.34608541
315,12800,3276800,256,edge,0.1048,TRUE,40.0622,TRUE,382.2729008
316,12800,6553600,512,dij,0.192,TRUE,11.0364,TRUE,57.48125
317,12800,6553600,512,spfa,0.2789,TRUE,14.0301,TRUE,50.30512729
318,12800,6553600,512,delta,0.1075,TRUE,16.8243,TRUE,156.5051163
319,12800,6553600,512,edge,0.2351,TRUE,68.8648,TRUE,292.9170566
320,25600,25600,1,dij,0.0224,TRUE,0.5063,TRUE,22.60267857
321,25600,25600,1,spfa,0.009,TRUE,0.1754,TRUE,19.48888889
322,25600,25600,1,delta,0.1209,TRUE,0.8065,TRUE,6.670802316
323,25600,25600,1,edge,0.017,TRUE,0.3745,TRUE,22.02941176
